15  S..Z...GK..Q.AT rack=AGKQSTZ   score=1821 unchallenged game=1079 player=Aaron_Green
15  QQQQQ........QQ rack=ADEGIOW   score=1750 unchallenged game=16697 player=New_Player_1
15  .......QQQQ.QQQ rack=ADEGIOW   score=1199 unchallenged game=16697 player=New_Player_1
15  ...QQ.QQQQ..Q.. rack=ADEGIOW   score=1063 unchallenged game=16697 player=New_Player_1
 8  .AISTREL        rack=AEILRST   score=  76 unchallenged game=1067 player=Rebecca
 8  KAROTEN.        rack=AEKNORT   score=  70 unchallenged game=10670 player=Jackson_and_Alex
 8  UNBR.WED        rack=BDENRUW   score=  78 challenged   game=10683 player=Alex!
 8  NEGR.IDS        rack=DEGINRS   score=  90 unchallenged game=10694 player=Geoff
 8  Z.ROTITE        rack=EIORTTZ   score=  68 challenged   game=1071 player=Steven
 8  ETICISM.        rack=CEIIMST   score=  89 unchallenged game=10743 player=Debbie_Scholz
 8  LURIDIT.        rack=DIILRTU   score=  89 unchallenged game=10746 player=Geoff_Thevenot
 8  MISTRI.D        rack=DIIMRST   score=  76 unchallenged game=10748 player=Matt_Canik
 8  U.GAINED        rack=ADEGINU   score=  63 unchallenged game=10749 player=Matt_Canik
 8  U.GAINED        rack=ADEGINU   score=  63 unchallenged game=10750 player=Matt_Canik
 8  .EAGIRTS        rack=AEGIRST   score=  80 challenged   game=10751 player=Peter
 8  GEOIDI.L        rack=?DEGIIO   score=  61 challenged   game=10776 player=Tony_Rankin
 8  OUTYEA.N        rack=?AENOUY   score=  60 challenged   game=10782 player=Paula
 8  .ETAMINS        rack=?AEIMST   score=  92 challenged   game=10804 player=Udayan_Grover
 8  STERILE.        rack=EEILRST   score=  77 challenged   game=10805 player=Blue_Thorogood
 8  EGO.ISER        rack=EEGIORS   score=  72 challenged   game=10810 player=Zbigniew_Wieckowski
 8  MOU.TURE        rack=EMORTUU   score=  62 challenged   game=10811 player=David_Delicata
 8  RERETIR.        rack=?EEIRRT   score=  66 challenged   game=10812 player=Daniel_Srichawla
 8  BOOKL.ST        rack=BKLOOST   score=  65 challenged   game=10814 player=Gunnar_Andersson
 8  .LUTEINE        rack=EEILNTU   score=  80 unchallenged game=10814 player=Zbigniew_Wieckowski
 8  M.NGEREL        rack=EEGLMNR   score=  74 unchallenged game=1082 player=Edward_S._De_Guzman
 8  OMNEFI.D        rack=DEFIMNO   score=  94 challenged   game=10821 player=Ricky_Purnomo
 8  .NDERTIP        rack=DEINPRT   score=  72 challenged   game=10824 player=Zbigniew_Wieckowski
 8  REL.NTOR        rack=ELNORRT   score=  59 challenged   game=10828 player=Calum_Edwards
 8  SP.TTLED        rack=DELPSTT   score=  62 challenged   game=10841 player=cesar
 8  ANTIG.NT        rack=AGINNTT   score=  72 challenged   game=10842 player=Katya_Lezin
